Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
Low,Low,Medium,Low,Yes,Adequate,Medium,Low,Yes,Many,Medium,Medium,Private,Neutral,Medium,No,High school,Far,Female,Pass
High,High,Medium,Medium,Yes,Low,High,Medium,Yes,Many,Low,Medium,Public,Positive,Medium,No,High school,Near,Female,Pass
Medium,High,Low,Medium,Yes,High,Medium,Low,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Near,Male,Pass
Medium,High,Medium,Low,Yes,Low,High,Low,Yes,Many,High,Medium,Public,Neutral,Medium,No,College,Near,Female,Pass
Medium,High,Low,Medium,No,Low,Low,Low,Yes,Many,Low,Low,Private,Positive,Medium,No,High school,Near,Male,Pass
Medium,Medium,Medium,High,No,Low,High,High,Yes,Few,High,Medium,Public,Negative,Low,No,High school,Near,Male,Pass
Medium,High,Medium,Low,Yes,Adequate,High,Low,Yes,Few,Low,High,Public,Neutral,Low,No,Postgraduate,Far,Male,Excellent
Medium,High,Low,Low,No,Adequate,High,High,Yes,Few,Medium,Medium,Private,Positive,Medium,No,High school,Near,Female,Pass
High,High,Medium,Medium,Yes,Low,Low,High,Yes,Few,Low,Medium,Public,Neutral,Medium,No,College,Moderate,Male,Pass
High,Medium,Medium,High,Yes,Low,High,Medium,Yes,Few,High,Medium,Public,Negative,Medium,No,Postgraduate,Near,Female,Pass
High,High,High,High,No,Adequate,Medium,Medium,Yes,Few,Medium,High,Private,Positive,Low,No,High school,Moderate,Male,Pass
Medium,Medium,Low,Low,Yes,Low,High,High,Yes,Few,Low,Low,Private,Positive,Medium,Yes,College,Near,Male,Pass
Medium,High,Medium,High,No,Low,High,Low,Yes,Many,High,High,Private,Negative,Medium,No,Postgraduate,Near,Male,Pass
Medium,Medium,High,Medium,Yes,Adequate,Medium,Low,Yes,Few,Low,Low,Private,Positive,Low,No,High school,Far,Male,Pass
Medium,Medium,High,High,Yes,Low,High,Low,Yes,Few,Low,High,Public,Negative,Medium,No,College,Near,Male,Pass
Medium,High,Medium,Medium,No,Adequate,High,Medium,Yes,Many,Medium,High,Public,Neutral,Medium,Yes,College,Near,Male,Pass
Medium,Medium,Medium,Medium,Yes,Adequate,High,Medium,Yes,Many,Medium,High,Private,Negative,Medium,No,High school,Moderate,Male,Pass
Medium,High,High,Medium,Yes,Adequate,High,Medium,No,Few,Low,Medium,Public,Neutral,Medium,No,High school,Near,Male,Pass
High,High,High,High,Yes,High,Medium,High,Yes,Few,High,Medium,Private,Negative,Medium,No,High school,Near,Male,Pass
Medium,Medium,High,High,Yes,Adequate,Medium,Low,Yes,Few,Low,Medium,Public,Positive,Medium,No,College,Moderate,Male,Pass
Medium,Medium,Low,Medium,No,Adequate,High,Medium,No,Few,Low,Medium,Public,Positive,Medium,No,High school,Far,Male,Fail
Medium,High,Low,Medium,No,Adequate,Medium,High,No,Few,Low,High,Public,Positive,Medium,No,Postgraduate,Moderate,Male,Pass
Medium,Medium,Low,High,No,High,Low,High,Yes,Few,Low,High,Private,Positive,Low,No,Postgraduate,Near,Male,Pass
Low,High,Low,Low,Yes,Low,Low,High,Yes,Few,Low,Medium,Public,Negative,Low,No,High school,Moderate,Female,Fail
High,High,High,High,Yes,Adequate,Low,Medium,Yes,Few,High,High,Public,Negative,Medium,Yes,High school,Moderate,Male,Pass
Medium,Medium,High,Medium,No,Low,Low,Low,Yes,Many,Low,Low,Private,Positive,Low,No,High school,Moderate,Male,Pass
High,Medium,Medium,Medium,Yes,Adequate,High,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Moderate,Female,Pass
High,Medium,Medium,Medium,Yes,High,Low,Medium,Yes,Few,Medium,Medium,Private,Positive,Medium,Yes,Postgraduate,Near,Female,Pass
Medium,High,Medium,Medium,No,Adequate,Medium,Low,Yes,Many,Medium,Medium,Public,Positive,Medium,No,College,Near,Female,Pass
Medium,Medium,High,High,Yes,Adequate,Medium,Low,Yes,Few,Medium,High,Private,Negative,Medium,No,College,Moderate,Female,Pass
Medium,Medium,Medium,High,No,Adequate,High,Low,Yes,Few,Medium,High,Public,Negative,Medium,Yes,College,Far,Male,Pass
High,High,High,Medium,Yes,Low,Medium,Medium,Yes,Few,Medium,Medium,Private,Neutral,Medium,No,Postgraduate,Near,Male,Pass
Medium,High,Medium,High,No,Adequate,High,Medium,Yes,Few,High,Medium,Public,Positive,Medium,No,College,Far,Female,Pass
Medium,Medium,Low,High,Yes,High,Medium,Low,Yes,Few,Low,Medium,Public,Negative,Medium,No,College,Far,Female,Pass
Medium,Medium,High,Medium,No,Adequate,Low,Low,Yes,Few,Medium,Medium,Public,Negative,Medium,No,College,Far,Female,Pass
Medium,High,Low,Medium,Yes,High,Low,Medium,Yes,Few,High,Medium,Public,Neutral,Medium,Yes,College,Far,Female,Pass
Medium,High,Medium,Medium,No,High,Medium,High,Yes,Few,High,High,Public,Neutral,Medium,No,Postgraduate,Moderate,Male,Pass
Low,High,High,Low,Yes,Low,Low,Medium,Yes,Many,Low,High,Private,Neutral,Low,No,High school,Moderate,Male,Pass
High,High,Medium,High,No,Low,Medium,Medium,Yes,Few,High,Medium,Public,Neutral,Low,No,High school,Moderate,Female,Pass
High,High,High,High,No,Low,Medium,Low,Yes,Few,Medium,Medium,Private,Negative,Medium,No,High school,Near,Female,Fail
Medium,High,Medium,Medium,Yes,High,High,Medium,Yes,Many,Medium,Medium,Private,Negative,Low,No,Postgraduate,Near,Female,Pass
Medium,High,High,Low,Yes,Low,Low,Medium,Yes,Many,Low,Medium,Private,Neutral,Medium,No,High school,Near,Female,Pass
High,High,Low,Medium,No,Low,Medium,Low,Yes,Few,Medium,Medium,Public,Positive,Low,Yes,Postgraduate,Near,Male,Pass
Medium,High,Low,Medium,Yes,Adequate,Low,High,Yes,Few,Low,Medium,Private,Positive,Medium,No,College,Near,Male,Pass
High,Medium,Medium,Medium,No,Low,High,High,Yes,Few,Medium,Medium,Public,Neutral,Low,No,High school,Far,Female,Pass
High,Medium,Medium,Low,Yes,High,Medium,High,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Moderate,Male,Pass
High,High,Medium,Low,No,Low,High,Medium,Yes,Few,Low,High,Private,Negative,Medium,No,High school,Near,Male,Excellent
Medium,Medium,High,Medium,Yes,Adequate,High,High,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Moderate,Male,Pass
High,High,Low,Medium,No,Low,Medium,Low,Yes,Many,Low,Medium,Public,Negative,Low,No,Postgraduate,Near,Male,Pass
Medium,Medium,High,Low,Yes,Adequate,Low,Medium,Yes,Few,Medium,High,Public,Positive,Medium,No,College,Near,Male,Pass
High,High,Medium,Low,Yes,High,High,Low,Yes,Few,Medium,Low,Private,Negative,Medium,No,High school,Moderate,Female,Excellent
Low,Medium,Medium,Low,Yes,High,Medium,Low,Yes,Few,Medium,Medium,Private,Negative,Medium,No,High school,Near,Male,Fail
Medium,High,Medium,Medium,No,Adequate,High,Low,Yes,Few,High,High,Private,Negative,Medium,No,College,Moderate,Male,Pass
High,High,High,Low,Yes,Low,Medium,Low,Yes,Few,Medium,Low,Public,Positive,Low,No,Postgraduate,Near,Female,Pass
Medium,Medium,Low,Medium,Yes,Low,Medium,Low,Yes,Many,Medium,Medium,Private,Negative,Low,No,College,Near,Male,Pass
Medium,High,Medium,Medium,No,Adequate,High,Low,Yes,Few,Medium,Low,Public,Neutral,Medium,No,Postgraduate,Moderate,Female,Pass
Medium,Medium,Medium,Medium,Yes,Low,Low,Medium,Yes,Many,Medium,Medium,Private,Positive,Medium,Yes,High school,Near,Male,Pass
Medium,Medium,Medium,High,No,Adequate,High,Medium,Yes,Few,High,High,Public,Neutral,Medium,No,Postgraduate,Near,Female,Pass
Low,Medium,High,Medium,No,High,Medium,High,Yes,Few,High,Medium,Public,Positive,Medium,No,High school,Near,Male,Pass
Medium,Medium,Medium,Low,Yes,Low,Low,High,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Near,Male,Pass
High,High,High,Medium,Yes,Low,Medium,Low,Yes,Few,Medium,Medium,Private,Negative,Low,No,College,Far,Female,Pass
Medium,Medium,Medium,High,No,Low,High,Medium,Yes,Few,Medium,Medium,Public,Neutral,Low,No,Postgraduate,Far,Female,Pass
Medium,High,High,High,Yes,Adequate,High,High,Yes,Few,Medium,High,Public,Neutral,Low,No,High school,Near,Male,Pass
Medium,Medium,Medium,Medium,No,Adequate,Medium,Medium,Yes,Few,Low,Medium,Public,Negative,Low,No,College,Near,Female,Pass
High,High,Medium,Low,Yes,Adequate,Medium,Medium,Yes,Few,Low,Low,Private,Neutral,Medium,No,Postgraduate,Moderate,Male,Pass
Medium,Medium,Medium,Medium,Yes,Adequate,Medium,High,Yes,Many,Medium,High,Public,Neutral,Medium,Yes,College,Near,Female,Pass
Medium,High,High,Medium,Yes,Adequate,High,Low,No,Many,High,Low,Public,Negative,Low,No,College,Near,Male,Pass
Medium,High,Medium,Medium,No,Adequate,Medium,Medium,Yes,Few,Medium,Medium,Public,Positive,Medium,No,College,Moderate,Male,Pass
High,High,Medium,Medium,No,Adequate,Medium,Medium,Yes,Many,Low,High,Public,Negative,Medium,No,High school,Near,Male,Pass
High,High,Low,Medium,Yes,Adequate,Medium,High,Yes,Few,Low,High,Public,Positive,Medium,No,College,Near,Male,Pass
Medium,High,Medium,Low,No,Adequate,High,Low,Yes,Few,Low,Medium,Private,Positive,Medium,No,High school,Near,Male,Pass
High,Medium,Medium,Medium,Yes,Low,Medium,Medium,Yes,Few,Low,Medium,Private,Neutral,Medium,No,Postgraduate,Far,Male,Pass
High,Medium,Medium,High,No,Low,Low,Low,Yes,Few,High,Low,Private,Neutral,Low,No,High school,Moderate,Male,Pass
Medium,Medium,High,Low,No,Adequate,Low,Medium,Yes,Few,Medium,High,Public,Negative,Low,No,High school,Moderate,Male,Pass
Medium,Medium,High,High,No,Low,Low,Low,Yes,Few,High,Low,Private,Neutral,Low,No,College,Near,Male,Pass
Medium,Medium,Medium,Low,Yes,Adequate,High,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Near,Female,Pass
Low,High,Medium,Medium,Yes,Adequate,High,Medium,Yes,Few,Low,Medium,Public,Negative,Medium,No,College,Near,Female,Pass
High,High,Low,High,No,Adequate,High,Medium,No,Few,Medium,Medium,Public,Positive,Medium,No,High school,Near,Female,Pass
Medium,Medium,Medium,Medium,Yes,Low,Medium,Medium,Yes,Few,High,Medium,Public,Neutral,Low,Yes,College,Near,Female,Pass
High,High,Low,Medium,Yes,Low,High,Medium,Yes,Many,Low,Medium,Public,Positive,Medium,No,High school,Near,Female,Pass
Medium,High,Medium,Medium,No,High,Low,Medium,Yes,Few,Medium,Medium,Public,Neutral,Low,No,College,Moderate,Female,Pass
Medium,High,Low,Low,No,Low,High,Low,Yes,Few,Low,Low,Public,Negative,Medium,Yes,High school,Moderate,Male,Pass
Medium,Medium,Medium,Medium,Yes,High,High,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Near,Male,Pass
Medium,High,High,Medium,Yes,Adequate,Low,Medium,Yes,Few,Medium,Medium,Private,Negative,Medium,No,College,Moderate,Male,Pass
High,High,Medium,Low,Yes,Low,Medium,Medium,Yes,Few,Low,Low,Public,Positive,Low,No,High school,Moderate,Male,Pass
Medium,Medium,High,Low,No,Low,Low,Low,Yes,Few,Low,Low,Public,Negative,Medium,No,High school,Near,Female,Excellent
Medium,Medium,High,Low,No,Low,Medium,Low,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Near,Male,Pass
Medium,High,Low,Medium,No,High,High,Medium,Yes,Few,Medium,High,Public,Positive,Low,No,College,Moderate,Male,Pass
High,High,Low,High,No,Adequate,Medium,Low,Yes,Few,Medium,High,Private,Neutral,Medium,Yes,College,Near,Female,Pass
Medium,Medium,Medium,Low,No,High,High,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Near,Male,Pass
Medium,High,Medium,Medium,Yes,Adequate,High,Medium,Yes,Few,Medium,Medium,Private,Negative,Medium,No,College,Near,Male,Pass
High,Medium,Medium,High,Yes,Adequate,High,Medium,Yes,Few,Low,High,Public,Neutral,Medium,No,College,Near,Male,Excellent
Medium,Low,Low,Low,No,Adequate,High,Low,Yes,Few,Low,Medium,Private,Negative,Low,No,High school,Far,Female,Pass
High,High,Low,Medium,Yes,Adequate,Medium,High,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Moderate,Female,Pass
Medium,High,Low,Medium,No,Adequate,Medium,Medium,Yes,Many,Medium,Medium,Private,Positive,Medium,No,College,Near,Male,Pass
Medium,Medium,High,Medium,No,Adequate,Low,Medium,Yes,Few,High,Medium,Public,Neutral,Low,Yes,High school,Far,Male,Fail
High,High,High,Medium,Yes,Adequate,Medium,Medium,Yes,Many,Low,High,Public,Neutral,Low,No,High school,Moderate,Male,Pass
Medium,High,Low,Medium,Yes,Low,Low,Medium,Yes,Many,Low,Medium,Public,Negative,Medium,No,High school,Moderate,Male,Pass
High,High,Medium,Low,Yes,Low,High,High,Yes,Many,Low,Medium,Private,Neutral,Medium,No,Postgraduate,Near,Female,Pass
Medium,High,Low,Low,No,Adequate,Medium,Medium,Yes,Many,High,Medium,Public,Neutral,Medium,No,High school,Near,Male,Pass
High,High,High,High,No,Low,High,Medium,Yes,Few,Low,High,Private,Neutral,Low,No,College,Near,Male,Pass
Low,Medium,High,Medium,Yes,Adequate,High,High,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Near,Female,Pass
Medium,Medium,Medium,High,No,Low,High,Medium,Yes,Few,Low,High,Public,Neutral,Medium,No,High school,Near,Female,Pass
Medium,Medium,Medium,High,No,Adequate,High,Medium,Yes,Many,Medium,High,Private,Neutral,Medium,Yes,Postgraduate,Near,Female,Pass
High,High,Low,Low,Yes,High,Low,Medium,Yes,Few,Low,High,Private,Neutral,Medium,No,High school,Near,Male,Pass
Medium,High,Medium,Medium,Yes,Low,High,Low,Yes,Many,High,Medium,Public,Positive,Medium,No,High school,Near,Male,Pass
High,Medium,Medium,Medium,Yes,Adequate,Medium,High,Yes,Few,Low,Medium,Public,Positive,Low,No,College,Moderate,Male,Pass
Medium,Medium,Medium,Medium,Yes,Adequate,High,Low,Yes,Few,Medium,Medium,Public,Negative,Low,Yes,High school,Near,Female,Pass
High,Medium,High,High,Yes,Low,High,Medium,No,Few,Medium,High,Private,Negative,Medium,No,High school,Moderate,Male,Excellent
Medium,High,Low,Low,Yes,Adequate,Low,Low,Yes,Many,Medium,Medium,Private,Neutral,Medium,No,High school,Moderate,Female,Pass
Medium,Medium,High,Medium,No,High,High,High,Yes,Few,High,High,Public,Positive,Medium,No,High school,Near,Female,Excellent
High,Medium,Medium,Medium,Yes,Adequate,Medium,Low,Yes,Many,Medium,High,Public,Neutral,Low,No,College,Near,Male,Pass
Medium,High,Medium,Low,Yes,High,Medium,Low,Yes,Few,Low,Medium,Public,Positive,Low,No,College,Far,Male,Pass
Medium,Medium,High,Medium,Yes,Adequate,High,Low,Yes,Few,Medium,Medium,Public,Neutral,Low,No,High school,Near,Female,Pass
High,High,High,Medium,No,Low,High,Medium,Yes,Few,Medium,Medium,Public,Positive,Medium,No,College,Moderate,Female,Pass
Medium,High,High,Low,No,Adequate,High,Medium,Yes,Few,Low,High,Public,Positive,Low,No,Postgraduate,Moderate,Female,Pass
Medium,High,High,Medium,No,Low,Medium,Low,Yes,Few,Low,Medium,Public,Positive,Medium,No,High school,Near,Male,Excellent
High,High,High,Medium,No,Adequate,Medium,Low,Yes,Few,High,High,Public,Negative,Medium,No,High school,Near,Male,Pass
Medium,Medium,Medium,Medium,Yes,Low,Medium,Low,Yes,Many,Medium,Medium,Public,Positive,Medium,Yes,College,Near,Female,Fail
Medium,High,High,Medium,Yes,High,Medium,Medium,No,Many,Low,Medium,Private,Positive,Medium,No,High school,Moderate,Female,Pass
Low,Medium,High,Medium,No,High,Low,Low,Yes,Few,Medium,High,Public,Positive,Medium,No,Postgraduate,Moderate,Male,Pass
High,Low,Medium,Medium,Yes,Adequate,High,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Far,Male,Pass
Low,High,Medium,Low,No,High,Medium,Low,Yes,Few,Low,Medium,Private,Positive,Low,No,High school,Near,Female,Fail
Low,High,High,Low,Yes,Low,High,High,Yes,Few,Medium,Medium,Public,Positive,Low,No,High school,Near,Male,Pass
High,High,High,Low,No,Low,Low,Medium,Yes,Few,High,Low,Public,Neutral,Medium,Yes,College,Near,Female,Pass
High,Medium,Medium,Low,Yes,Adequate,Medium,Medium,Yes,Few,Medium,Low,Public,Neutral,Medium,No,Postgraduate,Far,Male,Pass
Medium,High,High,Medium,Yes,Adequate,Medium,High,Yes,Many,Low,Medium,Private,Positive,Medium,No,High school,Near,Female,Excellent
Medium,Medium,High,Medium,Yes,Low,Medium,High,Yes,Few,Low,High,Private,Neutral,Medium,No,College,Near,Female,Pass
Medium,Medium,Medium,Low,No,Low,Medium,Medium,Yes,Few,Low,Medium,Public,Positive,Low,No,College,Far,Male,Pass
Medium,High,High,Medium,Yes,Adequate,Medium,Medium,Yes,Many,Low,Medium,Public,Neutral,Medium,No,High school,Near,Female,Pass
High,Medium,Low,Medium,Yes,Low,Medium,Low,No,Many,Low,Medium,Private,Positive,Medium,No,Postgraduate,Near,Female,Pass
Medium,High,Low,High,Yes,Adequate,High,Low,Yes,Few,High,Medium,Private,Neutral,Medium,No,High school,Near,Female,Pass
High,Medium,Medium,Medium,Yes,Adequate,Medium,Low,Yes,Few,Low,Low,Private,Negative,Medium,No,College,Near,Male,Pass
Medium,Medium,High,Low,Yes,Adequate,Low,Medium,Yes,Few,Low,Low,Public,Positive,Low,No,College,Far,Female,Pass
Medium,Medium,Low,Low,Yes,Adequate,Medium,Medium,Yes,Few,Low,High,Public,Negative,Low,No,College,Near,Female,Pass
Medium,High,High,Medium,No,Low,Medium,Medium,Yes,Many,Medium,Medium,Public,Neutral,Low,No,High school,Near,Male,Pass
High,High,Low,Medium,No,Low,Low,High,Yes,Few,Low,High,Public,Negative,Medium,No,High school,Near,Female,Pass
High,Medium,High,Low,Yes,High,Low,Medium,Yes,Few,Medium,Medium,Public,Negative,Low,No,Postgraduate,Near,Male,Pass
Low,Medium,Low,Medium,Yes,Adequate,Medium,Low,Yes,Few,Low,Medium,Public,Neutral,Medium,No,Postgraduate,Near,Male,Pass
Medium,High,High,Low,Yes,Adequate,Medium,Medium,Yes,Many,Low,Medium,Private,Positive,Medium,No,High school,Near,Male,Pass
Medium,High,High,Low,Yes,Adequate,Medium,Low,Yes,Few,Low,High,Private,Negative,Medium,No,College,Moderate,Male,Pass
Medium,High,High,High,No,Low,Medium,Medium,Yes,Few,Medium,Medium,Private,Negative,Medium,No,Postgraduate,Near,Female,Pass
High,Medium,Low,High,Yes,Adequate,Medium,Low,Yes,Few,Low,Medium,Public,Negative,Medium,No,College,Moderate,Female,Pass
High,High,Medium,High,No,Adequate,High,High,No,Few,Low,High,Public,Negative,Medium,No,High school,Near,Male,Pass
High,High,Medium,High,Yes,High,Medium,Low,Yes,Many,Low,Medium,Public,Neutral,Medium,No,College,Moderate,Female,Pass
Medium,High,High,High,Yes,High,Medium,Low,Yes,Few,High,High,Public,Positive,Low,No,Postgraduate,Near,Male,Pass
Low,High,Low,Low,No,Adequate,Medium,Medium,Yes,Few,Medium,High,Public,Neutral,Medium,No,Postgraduate,Near,Male,Pass
High,High,High,Low,Yes,Adequate,High,Medium,Yes,Few,High,Medium,Public,Positive,Medium,No,Postgraduate,Far,Male,Pass
Medium,Medium,High,Low,Yes,Adequate,Medium,Low,Yes,Few,High,Medium,Public,Neutral,Medium,No,College,Near,Male,Pass
High,High,High,Medium,Yes,High,High,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Near,Male,Excellent
Medium,High,High,High,Yes,Low,High,Low,Yes,Few,Medium,High,Public,Neutral,Low,No,Postgraduate,Near,Female,Pass
Medium,Medium,Low,Medium,Yes,Adequate,Medium,Medium,Yes,Many,High,High,Public,Positive,Low,No,Postgraduate,Near,Male,Pass
Medium,Medium,Medium,Medium,No,Low,High,Low,Yes,Few,High,Low,Public,Negative,Medium,No,High school,Near,Male,Pass
High,High,Medium,Medium,No,Adequate,Low,Medium,Yes,Few,Medium,Medium,Private,Neutral,Medium,No,High school,Near,Male,Pass
Medium,Medium,Low,High,No,High,Medium,Low,Yes,Few,High,High,Private,Neutral,Medium,No,High school,Moderate,Male,Pass
High,High,Medium,Medium,Yes,Adequate,Low,Low,Yes,Few,Medium,Low,Private,Positive,Medium,No,High school,Moderate,Female,Pass
Medium,Medium,Medium,Medium,No,Adequate,High,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,Postgraduate,Moderate,Male,Pass
Low,Medium,Low,High,No,Adequate,Low,Medium,Yes,Few,Low,High,Public,Neutral,Medium,No,High school,Near,Female,Fail
Medium,Medium,Medium,Medium,Yes,Low,Medium,Low,Yes,Many,Medium,Medium,Public,Negative,Low,Yes,College,Near,Male,Pass
Medium,Medium,Medium,Medium,Yes,Low,Low,Low,Yes,Few,High,High,Public,Negative,Medium,No,Postgraduate,Moderate,Female,Pass
High,Medium,Low,Low,No,Adequate,Medium,Low,Yes,Few,High,Low,Public,Neutral,Medium,No,College,Near,Male,Pass
High,Medium,High,High,No,Low,Medium,Medium,Yes,Few,Low,Medium,Private,Neutral,Low,No,Postgraduate,Moderate,Female,Pass
Medium,High,High,Medium,Yes,Low,High,Medium,Yes,Few,Medium,High,Public,Neutral,Medium,No,High school,Near,Male,Pass
Medium,High,High,High,Yes,Adequate,Low,Medium,Yes,Few,Medium,Medium,Private,Neutral,Medium,No,College,Near,Male,Pass
Medium,Medium,Medium,High,No,Adequate,High,High,Yes,Few,Low,High,Public,Neutral,Low,No,College,Moderate,Female,Pass
High,High,High,Medium,Yes,Low,High,High,Yes,Many,Medium,Medium,Public,Negative,Low,No,Postgraduate,Moderate,Female,Pass
High,High,High,Medium,Yes,High,High,Medium,Yes,Many,Medium,Medium,Public,Neutral,Low,No,Postgraduate,Moderate,Male,Pass
Medium,High,Medium,Low,No,High,High,Medium,Yes,Few,High,Low,Private,Neutral,Medium,No,High school,Moderate,Female,Pass
Low,High,Medium,Medium,Yes,Adequate,High,Medium,Yes,Few,Low,Medium,Public,Neutral,Medium,No,High school,Moderate,Female,Fail
High,Low,Low,High,No,Adequate,Medium,Medium,Yes,Few,Low,High,Public,Negative,Medium,No,Postgraduate,Near,Male,Excellent
Medium,Low,High,Low,No,High,Medium,Low,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,College,Far,Male,Fail
Medium,Medium,Medium,High,Yes,Adequate,Medium,Low,Yes,Many,Low,Low,Public,Positive,Medium,No,High school,Moderate,Male,Pass
High,Medium,High,Medium,Yes,High,Medium,Medium,Yes,Few,Low,High,Public,Positive,Medium,No,High school,Moderate,Male,Pass
Medium,High,Medium,Medium,Yes,Low,Medium,High,Yes,Few,High,Medium,Public,Positive,Low,No,High school,Near,Female,Pass
Medium,Medium,High,Medium,Yes,Low,High,Medium,Yes,Few,Low,Medium,Public,Positive,Medium,Yes,High school,Far,Male,Pass
Low,High,High,Low,No,Low,Low,Medium,Yes,Few,High,Medium,Private,Negative,Medium,No,College,Near,Male,Pass
High,High,High,Medium,Yes,Adequate,Low,Medium,Yes,Many,Low,Medium,Public,Neutral,Low,No,Postgraduate,Near,Female,Pass
Medium,High,Medium,Medium,No,High,High,Low,Yes,Few,Medium,Medium,Private,Positive,Low,No,College,Near,Male,Excellent
Medium,High,Low,Medium,No,Low,High,Low,Yes,Few,Low,Low,Public,Negative,Medium,No,Postgraduate,Near,Female,Pass
Medium,Medium,High,High,Yes,Adequate,High,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,Postgraduate,Near,Female,Pass
Medium,Medium,High,Low,No,High,Low,Low,Yes,Few,Low,Medium,Public,Positive,Medium,No,Postgraduate,Moderate,Female,Fail
Medium,Medium,Medium,Medium,No,High,High,Low,Yes,Few,Medium,Low,Public,Neutral,Medium,No,Postgraduate,Moderate,Female,Pass
High,High,Low,Low,No,Low,Medium,Low,Yes,Few,Low,Medium,Public,Positive,Medium,No,College,Near,Male,Pass
Medium,High,Medium,High,Yes,Adequate,High,Medium,Yes,Few,Medium,Medium,Private,Positive,Medium,No,High school,Moderate,Male,Excellent
High,High,Low,Medium,No,Adequate,Low,Low,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,High school,Near,Male,Excellent
Medium,Medium,Low,Medium,Yes,Low,Medium,Low,Yes,Few,Low,High,Private,Neutral,Low,No,College,Near,Male,Pass
Medium,High,High,High,No,Adequate,Medium,Low,Yes,Few,Low,Low,Public,Neutral,Medium,No,High school,Near,Female,Pass
Low,Medium,Low,High,Yes,Low,High,Medium,Yes,Many,High,High,Public,Positive,High,Yes,High school,Moderate,Male,Pass
Low,Medium,High,Medium,Yes,Adequate,Medium,Medium,Yes,Many,Medium,Medium,Public,Neutral,Medium,No,Postgraduate,Near,Female,Pass
Medium,High,Low,High,Yes,Low,High,Low,Yes,Few,Medium,High,Public,Negative,Low,No,College,Near,Female,Pass
Medium,High,High,Medium,Yes,Low,Medium,Low,Yes,Few,Medium,Low,Private,Negative,Low,No,College,Near,Male,Pass
Medium,High,High,High,Yes,Adequate,Low,Low,Yes,Few,Low,Medium,Public,Negative,Low,Yes,College,Moderate,Male,Pass
High,Medium,Medium,Medium,Yes,Adequate,Medium,High,Yes,Many,High,Medium,Public,Neutral,Medium,No,High school,Moderate,Male,Pass
High,High,Medium,Low,No,Low,Medium,Medium,Yes,Few,Medium,High,Public,Positive,Low,No,College,Near,Female,Pass
Medium,Medium,Medium,High,Yes,High,High,Low,Yes,Many,Low,Low,Public,Neutral,Medium,No,College,Near,Female,Pass
Low,High,Low,Low,Yes,Adequate,Medium,Low,Yes,Few,Low,Low,Private,Neutral,Low,No,College,Moderate,Male,Pass
Medium,High,Low,Medium,No,Adequate,High,Low,Yes,Few,Low,Medium,Public,Negative,Medium,No,College,Moderate,Male,Pass
Medium,High,Medium,Low,Yes,Adequate,High,High,Yes,Few,High,High,Private,Positive,Low,No,High school,Near,Male,Pass
Medium,Medium,Low,Medium,No,High,Low,Medium,Yes,Few,Medium,High,Public,Negative,Low,Yes,College,Moderate,Female,Fail
Medium,High,Medium,Medium,Yes,Low,High,Low,Yes,Few,Low,High,Public,Positive,Low,No,College,Far,Male,Pass
Medium,Medium,Medium,Medium,Yes,Adequate,High,Low,Yes,Few,Medium,Medium,Public,Positive,Medium,No,College,Near,Male,Pass
Medium,Medium,High,High,Yes,Adequate,High,Medium,Yes,Few,Medium,High,Public,Neutral,Low,No,High school,Near,Female,Pass
Medium,High,Medium,Low,No,High,Medium,Medium,Yes,Few,Medium,Medium,Private,Neutral,Medium,No,High school,Near,Female,Pass
High,High,Medium,High,No,Adequate,Medium,Medium,Yes,Few,High,High,Public,Positive,Low,No,College,Moderate,Female,Pass
High,Medium,High,Low,No,Adequate,Low,Medium,Yes,Few,Medium,Medium,Public,Positive,Medium,No,College,Near,Male,Pass
Medium,High,Medium,Low,Yes,Adequate,Medium,Low,Yes,Few,Low,Medium,Public,Positive,Medium,No,High school,Near,Female,Fail
High,High,Medium,Medium,No,Low,Medium,Low,Yes,Few,Low,Low,Private,Negative,Medium,No,High school,Moderate,Male,Pass
Medium,Medium,High,High,No,Low,Low,High,Yes,Few,High,Medium,Public,Neutral,Medium,Yes,High school,Moderate,Male,Pass
